iter	Passed	Remaining
0	7	5433
1	7	2977
2	8	2166
3	9	1741
4	10	1496
5	10	1304
6	11	1199
7	12	1115
8	12	1061
9	13	1005
10	14	963
11	15	924
12	15	893
13	16	864
14	17	840
15	17	816
16	18	796
17	19	780
18	19	763
19	20	758
20	35	1234
21	36	1203
22	37	1178
23	38	1160
24	39	1135
25	39	1113
26	40	1088
27	41	1069
28	42	1048
29	42	1030
30	43	1008
31	44	991
32	44	975
33	45	959
34	46	945
35	46	931
36	47	919
37	48	906
38	48	893
39	49	884
40	50	875
41	51	866
42	52	856
43	54	871
44	55	864
45	55	856
46	56	848
47	57	839
48	58	831
49	58	824
50	59	817
51	60	810
52	60	800
53	61	792
54	62	785
55	62	778
56	63	773
57	64	767
58	65	761
59	65	756
60	66	750
61	67	745
62	68	743
63	69	741
64	69	736
65	70	730
66	71	726
67	71	720
68	72	716
69	73	711
70	73	706
71	74	700
72	75	695
73	75	691
74	76	684
75	76	679
76	77	675
77	77	670
78	78	666
79	79	661
80	79	657
81	80	652
82	80	648
83	81	644
84	81	640
85	82	635
86	82	631
87	83	627
88	84	625
89	84	622
90	85	617
91	85	612
92	86	608
93	86	605
94	87	602
95	87	599
96	88	595
97	88	592
98	89	588
99	89	584
100	90	580
101	90	577
102	91	574
103	91	570
104	92	567
105	92	564
106	93	561
107	93	557
108	94	554
109	94	551
110	95	548
111	95	545
112	95	540
113	96	537
114	96	534
115	97	532
116	97	529
117	98	526
118	98	524
119	99	521
120	99	519
121	100	517
122	100	514
123	101	512
124	101	509
125	102	507
126	102	505
127	103	502
128	103	500
129	104	498
130	105	497
131	105	496
132	106	494
133	107	491
134	107	489
135	108	487
136	108	484
137	108	482
138	109	480
139	109	477
140	110	475
141	110	473
142	111	471
143	111	469
144	112	467
145	112	465
146	113	464
147	113	462
148	114	463
149	115	462
150	116	462
151	116	459
152	117	458
153	118	456
154	118	455
155	119	454
156	120	453
157	120	451
158	121	450
159	121	448
160	122	446
161	122	445
162	123	443
163	123	441
164	124	440
165	124	438
166	125	436
167	125	434
168	125	433
169	126	431
170	126	429
171	127	428
172	127	426
173	128	424
174	128	423
175	129	422
176	130	421
177	130	419
178	131	417
179	131	416
180	132	415
181	132	413
182	133	412
183	133	411
184	134	410
185	134	408
186	135	407
187	136	407
188	136	405
189	136	403
190	137	402
191	137	401
192	138	399
193	138	398
194	139	396
195	139	395
196	140	393
197	140	392
198	140	390
199	141	388
200	141	387
201	142	386
202	142	384
203	143	383
204	143	382
205	144	380
206	145	380
207	146	380
208	147	381
209	147	380
210	148	378
211	148	377
212	149	376
213	150	376
214	150	375
215	151	373
216	151	372
217	152	371
218	152	370
219	153	368
220	153	367
221	154	366
222	154	365
223	155	364
224	155	362
225	155	361
226	156	360
227	156	359
228	157	358
229	157	356
230	158	355
231	158	354
232	159	353
233	159	352
234	160	351
235	160	350
236	161	349
237	161	348
238	162	347
239	162	346
240	163	344
241	163	343
242	164	342
243	164	341
244	165	340
245	165	339
246	166	338
247	166	337
248	167	336
249	167	335
250	168	334
251	168	332
252	168	331
253	169	330
254	169	329
255	170	328
256	170	327
257	171	326
258	171	325
259	172	324
260	172	323
261	173	322
262	173	321
263	173	320
264	174	319
265	174	318
266	176	318
267	176	317
268	177	317
269	177	316
270	178	315
271	179	314
272	179	313
273	180	312
274	180	311
275	181	310
276	181	309
277	181	308
278	182	307
279	182	306
280	183	305
281	183	304
282	184	303
283	184	302
284	185	301
285	185	300
286	185	300
287	186	299
288	186	298
289	187	297
290	187	296
291	188	295
292	188	294
293	189	293
294	189	292
295	190	291
