iter	Passed	Remaining
0	21	4338
1	43	4354
2	69	4540
3	91	4495
4	111	4352
5	133	4310
6	157	4353
7	181	4367
8	200	4263
9	220	4183
10	241	4155
11	275	4314
12	298	4292
13	320	4263
14	340	4194
15	360	4141
16	379	4089
17	398	4030
18	418	3988
19	443	3995
20	466	3979
21	484	3919
22	502	3863
23	518	3804
24	536	3756
25	553	3701
26	570	3656
27	588	3616
28	609	3591
29	628	3559
30	646	3521
31	662	3479
32	679	3436
33	695	3397
34	712	3358
35	731	3331
36	751	3309
37	770	3283
38	791	3265
39	809	3236
40	830	3220
41	849	3197
42	869	3174
43	890	3156
44	907	3127
45	924	3095
46	940	3062
47	959	3037
48	975	3005
49	994	2984
50	1012	2957
51	1030	2933
52	1048	2908
53	1066	2883
54	1084	2857
55	1100	2829
56	1116	2802
57	1133	2775
58	1150	2750
59	1170	2730
60	1192	2717
61	1211	2697
62	1231	2677
63	1250	2657
64	1269	2637
65	1285	2609
66	1302	2586
67	1321	2565
68	1339	2543
69	1359	2524
70	1375	2499
71	1392	2475
72	1409	2451
73	1426	2428
74	1441	2402
75	1461	2385
76	1481	2367
77	1498	2344
78	1516	2322
79	1533	2300
80	1551	2279
81	1569	2259
82	1591	2242
83	1613	2228
84	1633	2210
85	1657	2197
86	1676	2178
87	1696	2159
88	1715	2138
89	1735	2121
90	1759	2107
91	1779	2088
92	1797	2067
93	1815	2046
94	1834	2027
95	1854	2009
96	1875	1991
97	1898	1976
98	1919	1958
99	1937	1937
100	1955	1916
101	1972	1894
102	1988	1872
103	2011	1856
104	2034	1840
105	2055	1823
106	2077	1805
107	2099	1788
108	2121	1771
109	2144	1754
110	2163	1734
111	2194	1724
112	2211	1702
113	2229	1681
114	2246	1660
115	2263	1639
116	2281	1618
117	2299	1598
118	2318	1577
119	2338	1559
120	2358	1539
121	2375	1518
122	2392	1497
123	2410	1477
124	2427	1456
125	2447	1437
126	2467	1418
127	2490	1400
128	2511	1382
129	2533	1364
130	2554	1345
131	2573	1325
132	2592	1306
133	2613	1287
134	2638	1270
135	2655	1249
136	2671	1228
137	2689	1208
138	2707	1188
139	2728	1169
140	2750	1150
141	2772	1132
142	2790	1112
143	2808	1092
144	2826	1072
145	2843	1051
146	2860	1031
147	2876	1010
148	2893	990
149	2913	971
150	2933	951
151	2949	931
152	2965	910
153	2981	890
154	2997	870
155	3013	849
156	3032	830
157	3049	810
158	3067	791
159	3086	771
160	3104	751
161	3121	732
162	3139	712
163	3156	692
164	3173	673
165	3190	653
166	3206	633
167	3225	614
168	3246	595
169	3265	576
170	3282	556
171	3298	536
172	3315	517
173	3332	497
174	3348	478
175	3369	459
176	3387	440
177	3403	420
178	3420	401
179	3437	381
180	3455	362
181	3472	343
182	3490	324
183	3508	305
184	3526	285
185	3545	266
186	3561	247
187	3579	228
188	3596	209
189	3612	190
190	3628	170
191	3647	151
192	3665	132
193	3683	113
194	3700	94
195	3717	75
196	3734	56
197	3751	37
198	3769	18
199	3790	0
