iter	Passed	Remaining
0	18	7207
1	23	4626
2	42	5595
3	58	5792
4	78	6187
5	93	6140
6	107	6045
7	112	5502
8	128	5598
9	134	5255
10	141	5017
11	153	4970
12	165	4937
13	177	4899
14	194	4995
15	206	4958
16	218	4931
17	230	4901
18	242	4862
19	246	4680
20	256	4637
21	268	4620
22	280	4600
23	292	4588
24	306	4590
25	317	4566
26	328	4543
27	329	4383
28	340	4356
29	351	4335
30	363	4328
31	374	4311
32	386	4298
33	398	4288
34	411	4293
35	423	4286
36	436	4286
37	449	4278
38	460	4265
39	472	4251
40	484	4245
41	497	4240
42	509	4230
43	521	4222
44	534	4214
45	548	4218
46	561	4217
47	574	4209
48	586	4202
49	599	4194
50	611	4187
51	623	4173
52	636	4165
53	648	4153
54	660	4142
55	672	4128
56	685	4126
57	698	4117
58	711	4111
59	723	4099
60	736	4092
61	748	4079
62	760	4067
63	772	4054
64	785	4047
65	799	4045
66	811	4032
67	822	4018
68	836	4011
69	849	4003
70	861	3991
71	873	3978
72	885	3966
73	897	3955
74	910	3944
75	923	3935
76	935	3924
77	947	3913
78	959	3899
79	971	3887
80	985	3880
81	997	3866
82	1008	3852
83	1020	3838
84	1032	3825
85	1045	3815
86	1056	3801
87	1068	3786
88	1079	3773
89	1091	3760
90	1104	3751
91	1117	3742
92	1130	3730
93	1142	3720
94	1157	3717
95	1174	3719
96	1188	3713
97	1203	3709
98	1216	3699
99	1230	3691
100	1245	3686
101	1259	3680
102	1273	3670
103	1285	3658
104	1298	3646
105	1310	3634
106	1322	3621
107	1335	3610
108	1348	3598
109	1360	3586
110	1372	3572
111	1384	3559
112	1400	3556
113	1415	3550
114	1430	3546
115	1443	3534
116	1457	3525
117	1469	3511
118	1481	3498
119	1494	3487
120	1507	3475
121	1520	3463
122	1532	3451
123	1546	3441
124	1558	3429
125	1571	3417
126	1583	3403
127	1595	3390
128	1609	3381
129	1621	3366
130	1633	3353
131	1647	3344
132	1658	3330
133	1671	3318
134	1684	3307
135	1696	3293
136	1708	3280
137	1719	3265
138	1731	3250
139	1742	3236
140	1756	3225
141	1767	3211
142	1779	3197
143	1790	3183
144	1801	3168
145	1814	3156
146	1828	3146
147	1840	3134
148	1852	3120
149	1864	3106
150	1876	3094
151	1888	3081
152	1900	3067
153	1911	3053
154	1923	3040
155	1935	3027
156	1947	3013
157	1959	3001
158	1971	2988
159	1983	2974
160	1994	2961
161	2007	2948
162	2019	2935
163	2031	2922
164	2042	2908
165	2054	2896
166	2066	2883
167	2079	2871
168	2091	2859
169	2105	2848
170	2116	2834
171	2128	2821
172	2140	2808
173	2152	2795
174	2164	2782
175	2176	2770
176	2188	2757
177	2199	2743
178	2210	2728
179	2222	2716
180	2234	2703
181	2246	2690
182	2257	2677
183	2268	2663
184	2281	2651
185	2292	2637
186	2303	2624
187	2315	2610
188	2326	2597
189	2338	2585
190	2350	2572
191	2362	2559
192	2374	2546
193	2385	2533
194	2397	2520
195	2408	2506
196	2419	2493
197	2431	2480
198	2441	2466
199	2452	2452
200	2464	2439
201	2475	2426
202	2486	2413
203	2498	2400
204	2511	2388
205	2523	2376
206	2535	2363
207	2547	2351
208	2558	2337
209	2571	2327
210	2584	2314
211	2595	2302
212	2607	2289
213	2619	2276
214	2632	2264
215	2644	2252
216	2655	2239
217	2667	2227
218	2679	2214
219	2691	2202
220	2703	2189
221	2715	2177
222	2726	2164
223	2738	2151
224	2750	2139
225	2762	2126
226	2774	2114
227	2785	2101
228	2797	2089
229	2809	2076
230	2821	2063
231	2832	2051
232	2844	2038
233	2855	2025
234	2867	2013
235	2879	2001
236	2891	1988
237	2903	1976
238	2916	1964
239	2927	1951
240	2939	1939
241	2950	1926
242	2962	1914
243	2973	1901
244	2985	1888
245	2996	1876
246	3010	1864
247	3021	1852
248	3033	1839
249	3045	1827
250	3056	1814
251	3067	1801
252	3078	1788
253	3090	1776
254	3101	1763
255	3113	1751
256	3124	1738
257	3135	1725
258	3146	1713
259	3157	1700
260	3168	1687
261	3180	1675
262	3192	1662
263	3203	1650
264	3214	1637
265	3225	1625
266	3237	1612
267	3247	1599
268	3258	1586
269	3269	1574
270	3280	1561
271	3290	1548
272	3301	1535
273	3313	1523
274	3324	1511
275	3335	1498
276	3346	1485
277	3357	1473
278	3367	1460
279	3378	1447
280	3389	1435
281	3400	1422
282	3411	1410
283	3422	1398
284	3433	1385
285	3444	1372
286	3455	1360
287	3466	1348
288	3478	1336
289	3491	1324
290	3501	1311
291	3513	1299
292	3524	1287
293	3535	1274
294	3546	1262
295	3557	1250
296	3568	1237
297	3580	1225
298	3592	1213
299	3604	1201
300	3615	1189
301	3626	1176
302	3638	1164
303	3649	1152
304	3661	1140
305	3672	1128
306	3684	1116
307	3696	1104
308	3708	1092
309	3719	1079
310	3732	1068
311	3745	1056
312	3757	1044
313	3768	1032
