iter	Passed	Remaining
0	1	1774
1	5	2588
2	8	2812
3	12	301644	14	280855	16	280266	19	273677	21	266188	23	257299	25	256610	28	2532
11	32	2709
12	35	2683
13	37	2632
14	41	2700
15	42	2643
16	45	2643
17	48	2626
18	50	2626
19	52	2580
20	53	2512
21	55	2478
22	57	2449
223	59	2428224	61	240425	63	2397
26	66	2387
27	68	2384
28	70	2362
29	76	2464
30	78	2441
31	79	2417
32	81	2402
33	85	2426
34	87	2406
35	90	2415
36	92	2396
37	94	2394
38	97	2396
39	99	2376
40	100	2352
41	103	2357
42	105	2349
43	107	2333
44	109	2323
45	111	2311
46	113	2299
47	115	2291
48	119	2313
49	123	2342
50	128	2395
51	130	2377
52	138	2470
53	140	2465
54	142	2450
55	144	2434
56	146	2424
57	150	2449
58	154	2457
59	156	2459
60	159	2453
61	161	2448
62	164	2440
63	167	2447
64	169	2435
65	174	2475
66	177	2474
67	180	2474
68	182	2460
69	184	2454
70	187	2448
71	189	2438
72	191	2430
73	193	2417
74	195	2405
75	196	2392
76	198	2374
77	199	2362
78	204	2378
79	205	2368
80	208	2363
81	210	2354
82	212	2343
83	214	2342
84	217	2342
85	223	2371
86	225	2362
87	228	2363
88	230	2355
89	237	2403
90	240	2399
91	243	2404
92	245	2393
93	249	2400
94	255	2433
95	257	2424
96	259	2413
97	261	2402
98	265	2412
99	267	2403
100	270	2410
101	273	2411
102	277	2413
103	281	2423
104	286	2444
105	289	2441
106	292	2439
107	294	2430
108	299	2444
109	302	2445
110	304	2435
111	307	2438
112	310	2437
113	313	2438
114	315	2430
115	323	2465
116	325	2459
117	330	2474
118	333	2468
119	336	2464
120	339	2463
121	341	2454
122	342	2444
123	346	2450
124	348	2441
125	352	2447
126	355	2440
127	357	2437
128	359	2424
129	361	2416
130	363	2408
131	365	2401
132	368	2402
133	371	2399
134	374	2402
135	377	2400
136	379	2393
137	381	2384
138	384	2381
139	387	2379
140	389	2371
141	392	2373
142	394	2366
143	397	2363
144	401	2366
145	403	2363
146	409	2378
147	414	2384
148	419	2393
149	421	2389
150	423	2381
151	425	2373
152	429	2378
153	431	2370
154	433	2361
155	435	2358
156	438	2352
157	441	2351
158	443	2347
159	445	2340
160	449	2341
161	451	2333
162	453	2329
163	455	2322
164	457	2315
165	459	2309
166	461	2302
167	463	2294
168	466	2293
169	468	2288
170	471	2285
171	473	2279
172	475	2272
173	477	2265
174	479	2258
175	481	2252
176	484	2254
177	486	2248
178	489	2243
179	491	2238
180	493	2231
181	495	2228
182	498	2223
183	500	2217
184	502	2213
185	506	2217
186	508	2211
187	510	2204
188	512	2198
189	516	2201
190	520	2204
191	522	2198
192	524	2192
193	530	2202
194	532	2199
195	535	2194
196	537	2189
197	538	2182
198	541	2180
199	547	2191
200	550	2186
201	552	2181
202	554	2176
203	556	2170
204	557	2163
205	560	2160
206	562	2155
207	565	2152
208	567	2147
209	569	2143
210	571	2137
211	573	2131
212	575	2125
213	576	2119
214	580	2117
215	582	2113
216	584	2108
217	586	2102
218	587	2096
219	590	2091
220	592	2086
221	596	2088
222	598	2084
223	599	2078
224	602	2074
225	604	2068
226	605	2063
227	607	2057
228	609	2052
229	611	2048
230	614	2045
231	617	2044
232	619	2039
233	622	2037
234	625	2036
235	628	2033
236	632	2034
237	633	2029
238	636	2028
239	638	2023
240	641	2021
241	645	2020
242	647	2017
243	649	2013
244	652	2009
245	653	2004
246	656	2000
247	657	1994
248	659	1990
249	664	1993
250	666	1990
251	669	1988
252	675	1993
253	677	1989
254	679	1984
255	682	1982
256	686	1983
257	689	1982
258	691	1979
259	695	1978
260	697	1975
261	700	1972
262	702	1969
263	706	1968
264	708	1963
265	711	1962
266	713	1959
267	716	1956
268	718	1951
269	720	1946
270	722	1943
271	724	1939
272	726	1935
273	728	1930
274	730	1925
275	732	1920
276	734	1916
277	735	1911
278	738	1908
279	746	1919
280	748	1914
281	751	1913
282	753	1908
283	755	1904
284	757	1900
285	762	1903
286	764	1898
287	766	1894
288	768	1890
289	770	1886
290	772	1881
291	774	1877
292	776	1874
293	781	1877
294	783	1873
295	785	1868
296	788	1866
297	790	1862
298	793	1859
299	795	1855
300	797	1852
301	800	1849
302	801	1844
303	805	1843
304	812	1851
305	817	1853
306	821	1854
307	827	1858
308	829	1854
309	831	1849
310	834	1848
311	837	1847
312	841	1846
313	843	1843
314	846	1839
315	848	1836
316	851	1834
317	855	1835
318	858	1833
319	862	1831
320	864	1829
321	868	1829
322	872	1829
323	874	1825
324	878	1824
325	882	1824
326	886	1824
327	890	1823
328	892	1819
329	894	1815
330	896	1811
331	897	1806
332	901	1805
333	903	1801
334	907	1800
335	908	1796
336	910	1791
337	914	1791
338	916	1787
339	918	1783
340	922	1781
341	924	1779
342	927	1776
343	929	1772
344	931	1769
345	934	1766
346	936	1762
347	945	1771
348	947	1768
349	950	1765
350	952	1762
351	959	1766
352	963	1766
353	965	1762
354	968	1758
355	970	1754
356	973	1753
357	976	1751
358	978	1747
359	980	1743
360	982	1739
361	984	1735
362	987	1732
363	989	1728
364	992	1725
365	993	1721
366	998	1721
367	1001	1719
368	1004	1718
369	1009	1718
370	1014	1719
371	1015	1715
372	1018	1711
373	1022	1711
374	1026	1711
375	1028	1706
376	1030	1702
377	1032	1699
378	1036	1698
379	1038	1694
380	1040	1689
381	1042	1686
382	1044	1683
383	1047	1680
384	1050	1678
385	1057	1682
386	1060	1680
387	1065	1679
388	1073	1686
389	1078	1686
390	1082	1685
391	1090	1691
392	1094	1691
393	1102	1695
394	1103	1690
395	1108	1691
396	1110	1687
397	1113	1684
398	1115	1680
399	1118	1677
400	1120	1673
401	1122	1669
402	1124	1665
403	1127	1663
404	1129	1659
405	1131	1655
406	1134	1653
407	1136	1649
408	1140	1648
409	1145	1648
410	1150	1649
411	1152	1645
412	1157	1645
413	1164	1648
414	1173	1654
415	1175	1649
416	1186	1659
417	1189	1656
418	1191	1652
419	1193	1648
420	1205	1657
421	1218	1669
422	1222	1667
423	1229	1670
424	1233	1668
425	1236	1666
426	1239	1663
427	1242	1660
428	1245	1658
429	1247	1654
430	1253	1654
431	1257	1653
432	1259	1649
433	1261	1645
434	1266	1645
435	1271	1644
436	1273	1640
