iter	Passed	Remaining
0	0	461
1	1	414
2	2	393
3	3	380
4	3	374
5	4	371
6	5	364
7	5	345
8	6	336
9	6	321
10	6	307
11	7	297
12	7	287
13	8	277
14	8	269
15	8	262
16	9	256
17	9	250
18	9	245
19	10	240
20	10	236
21	10	232
22	11	228
23	11	225
24	11	222
25	12	219
26	12	216
27	12	214
28	13	211
29	13	209
30	13	207
31	14	205
32	14	203
33	14	202
34	15	200
35	15	199
36	15	197
37	16	196
38	16	195
39	16	193
40	17	192
41	17	191
42	17	190
43	18	189
44	18	188
45	19	187
46	19	187
47	19	186
48	20	185
49	20	185
50	21	184
51	21	184
52	21	183
53	22	182
54	22	181
55	22	180
56	23	179
57	23	178
58	23	177
59	24	176
60	24	175
61	24	174
62	25	173
63	25	173
64	25	172
65	26	171
66	26	170
67	26	169
68	27	169
69	27	168
70	27	167
71	28	166
72	28	166
73	28	165
74	29	165
75	29	164
76	29	164
77	30	163
78	30	162
79	30	162
80	31	161
81	31	160
82	31	160
83	32	159
84	32	159
85	32	158
86	33	157
87	33	157
88	33	156
89	34	156
90	34	155
91	34	154
92	35	154
93	35	154
94	36	153
95	36	153
96	36	152
97	37	152
98	37	151
99	37	151
100	38	150
101	38	150
102	38	149
103	39	149
104	39	148
105	39	148
106	40	147
107	40	147
108	40	146
109	41	146
110	41	145
111	41	145
112	42	144
113	42	144
114	42	143
115	43	143
116	43	142
117	43	142
118	44	141
119	44	141
120	44	140
121	45	140
122	45	139
123	46	139
124	46	139
125	46	138
126	47	138
127	47	137
128	47	137
129	48	136
130	48	136
131	48	136
132	49	135
133	49	135
134	50	135
135	50	134
136	50	134
137	51	134
138	51	133
139	51	133
140	52	132
141	52	132
142	52	131
143	53	131
144	53	130
145	53	130
146	54	130
147	54	129
148	54	129
149	55	128
150	55	128
151	55	127
152	56	127
153	56	127
154	56	126
155	57	126
156	57	125
157	57	125
158	58	124
159	58	124
160	58	124
161	59	123
162	59	123
163	59	122
164	60	122
165	60	122
166	61	121
167	61	121
168	61	120
169	62	120
170	62	120
171	62	119
172	63	119
173	63	118
174	63	118
175	64	118
176	64	118
177	65	117
178	65	117
179	65	117
180	66	116
181	66	116
182	66	116
183	67	115
184	67	115
185	68	114
186	68	114
187	68	113
188	69	113
189	69	113
190	69	112
191	70	112
192	70	111
193	70	111
194	71	111
195	71	110
196	71	110
197	72	109
198	72	109
199	72	109
200	73	108
201	73	108
202	73	107
203	74	107
204	74	107
205	74	106
206	75	106
207	75	106
208	75	105
209	76	105
210	76	104
211	76	104
212	77	104
213	77	103
214	78	103
215	78	103
216	78	102
217	79	102
218	79	101
219	79	101
220	80	101
221	80	100
222	80	100
223	81	99
224	81	99
225	81	99
226	82	98
227	82	98
228	82	97
229	83	97
230	83	97
231	83	96
232	84	96
233	84	96
234	84	95
235	85	95
236	85	94
237	85	94
238	86	94
239	86	93
240	86	93
241	87	93
242	87	92
243	87	92
244	88	91
245	88	91
246	88	91
247	89	90
248	89	90
249	89	89
250	90	89
251	90	89
252	91	88
253	91	88
254	91	88
255	92	87
256	92	87
257	92	87
258	93	86
259	93	86
260	93	85
261	94	85
262	94	85
263	94	84
264	95	84
265	95	83
266	95	83
267	96	83
268	96	82
269	96	82
270	97	82
271	97	81
272	97	81
273	98	80
274	98	80
275	98	80
276	99	79
277	99	79
278	99	79
279	100	78
280	100	78
281	100	78
282	101	77
283	101	77
284	101	76
285	102	76
286	102	76
287	102	75
288	103	75
289	103	75
290	103	74
291	104	74
292	104	73
293	104	73
294	105	73
295	105	72
296	106	72
297	106	72
298	106	71
299	107	71
300	107	71
301	107	70
302	108	70
303	108	70
304	108	69
305	109	69
306	109	68
307	109	68
308	110	68
309	110	67
310	110	67
311	111	67
312	111	66
313	111	66
314	112	65
315	112	65
316	112	65
317	113	64
318	113	64
319	113	64
320	114	63
321	114	63
322	114	63
323	115	62
324	115	62
325	115	61
326	116	61
327	116	61
328	117	60
329	117	60
330	117	60
331	118	59
332	118	59
333	118	58
334	119	58
335	119	58
336	119	57
337	120	57
338	120	57
339	120	56
340	121	56
341	121	56
342	122	55
343	122	55
344	122	55
345	123	54
346	123	54
347	123	54
348	124	53
349	124	53
350	124	53
351	125	52
352	125	52
353	125	51
354	126	51
355	126	51
356	126	50
357	127	50
358	127	50
359	127	49
360	128	49
361	128	49
362	129	48
363	129	48
364	129	47
365	130	47
366	130	47
367	130	46
368	131	46
369	131	46
370	131	45
371	132	45
372	132	45
373	132	44
374	133	44
375	133	44
376	133	43
377	134	43
378	134	42
379	134	42
380	135	42
381	136	42
382	136	41
383	136	41
384	137	40
385	137	40
386	138	40
387	138	39
388	138	39
389	139	39
390	139	38
391	139	38
392	140	38
393	140	37
394	140	37
395	141	37
396	141	36
397	141	36
398	142	36
399	142	35
400	142	35
401	143	34
402	143	34
403	143	34
404	144	33
405	144	33
406	145	33
407	145	32
408	145	32
409	146	32
410	146	31
411	146	31
412	147	30
413	147	30
414	147	30
415	148	29
416	148	29
417	148	29
418	149	28
419	149	28
420	149	28
421	150	27
422	150	27
423	151	27
424	151	26
425	151	26
426	152	26
427	152	25
428	152	25
429	153	24
430	153	24
431	153	24
432	154	23
433	154	23
434	154	23
435	155	22
436	155	22
437	155	22
438	156	21
439	156	21
440	156	20
441	157	20
442	157	20
443	157	19
444	158	19
445	158	19
446	158	18
447	159	18
448	159	18
449	160	17
450	160	17
451	160	17
452	161	16
453	161	16
454	161	15
455	162	15
456	162	15
457	162	14
458	163	14
459	163	14
460	163	13
461	164	13
462	164	13
463	164	12
464	165	12
465	165	12
466	165	11
467	166	11
468	166	11
469	166	10
470	167	10
471	167	9
472	167	9
473	168	9
474	168	8
475	168	8
476	169	8
477	169	7
478	169	7
479	170	7
480	170	6
481	170	6
482	171	6
483	171	5
484	171	5
485	172	4
486	172	4
487	172	4
488	173	3
489	173	3
490	173	3
491	174	2
492	174	2
493	175	2
494	175	1
495	175	1
496	176	1
497	176	0
498	177	0
499	177	0
